Source,Target,Type,Id,Label,timeset,Weight
640,2563,Undirected,18245,,,1
2460,3496,Undirected,18316,,,1
2271,782,Undirected,18465,,,1
3371,3338,Undirected,18490,,,1
640,3338,Undirected,18493,,,1
502,3338,Undirected,18502,,,1
3371,1668,Undirected,18699,,,1
2271,1668,Undirected,18701,,,1
2157,1687,Undirected,18958,,,1
1678,381,Undirected,18975,,,1
2072,381,Undirected,18976,,,1
3662,381,Undirected,18977,,,1
3504,381,Undirected,18978,,,1
241,381,Undirected,18979,,,1
2934,381,Undirected,18980,,,1
3715,381,Undirected,18981,,,1
1772,381,Undirected,18982,,,1
3284,381,Undirected,18983,,,1
3879,381,Undirected,18984,,,1
3703,381,Undirected,18985,,,1
187,381,Undirected,18986,,,1
2301,381,Undirected,18987,,,1
2157,3901,Undirected,19015,,,1
1675,3901,Undirected,19021,,,1
1428,1694,Undirected,19053,,,1
2271,541,Undirected,19150,,,1
1428,1866,Undirected,19233,,,1
640,2184,Undirected,19292,,,1
3371,2132,Undirected,19362,,,1
671,1728,Undirected,19423,,,1
210,3538,Undirected,19505,,,1
2460,2199,Undirected,19515,,,1
447,3439,Undirected,19589,,,1
502,3609,Undirected,19645,,,1
903,3609,Undirected,19661,,,1
3712,820,Undirected,19681,,,1
640,2061,Undirected,19847,,,1
210,271,Undirected,20005,,,1
3158,3646,Undirected,20026,,,1
1428,882,Undirected,20128,,,1
2460,1447,Undirected,20179,,,1
1428,2312,Undirected,20195,,,1
3158,1773,Undirected,20226,,,1
2271,1773,Undirected,20231,,,1
2460,3128,Undirected,20336,,,1
1113,16,Undirected,20368,,,1
502,2309,Undirected,20375,,,1
2271,2309,Undirected,20382,,,1
2271,3255,Undirected,20422,,,1
2271,2108,Undirected,20569,,,1
1428,865,Undirected,20659,,,1
3371,2357,Undirected,20693,,,1
2271,2357,Undirected,20750,,,1
3528,388,Undirected,20955,,,1
2271,1491,Undirected,20987,,,1
3371,1491,Undirected,21015,,,1
640,1491,Undirected,21034,,,1
2271,2127,Undirected,21087,,,1
2194,2086,Undirected,21174,,,1
2542,2251,Undirected,21209,,,1
3371,2315,Undirected,21314,,,1
1331,348,Undirected,21543,,,1
3071,3683,Undirected,21626,,,1
502,3683,Undirected,21627,,,1
2271,1853,Undirected,21668,,,1
3158,1853,Undirected,21669,,,1
880,2012,Undirected,21762,,,1
1175,2012,Undirected,21763,,,1
2336,2012,Undirected,21764,,,1
3078,2012,Undirected,21765,,,1
2676,2012,Undirected,21766,,,1
2753,2012,Undirected,21767,,,1
1113,1869,Undirected,21970,,,1
1428,1721,Undirected,22009,,,1
2271,1558,Undirected,22028,,,1
1877,2610,Undirected,22119,,,1
1428,3599,Undirected,22151,,,1
2460,229,Undirected,22381,,,1
1428,1769,Undirected,22605,,,1
1428,3793,Undirected,22697,,,1
1428,3488,Undirected,22710,,,1
1428,2277,Undirected,22941,,,1
