Source,Target,Type,Id,Label,timeset,Weight
1589,1174,Undirected,3073,,,1
2095,1174,Undirected,3070,,,1
1589,1182,Undirected,19269,,,1
2095,1182,Undirected,19256,,,1
2095,1187,Undirected,30826,,,1
1851,1192,Undirected,1722,,,1
1195,1935,Undirected,42915,,,1
1210,1203,Undirected,15698,,,1
1589,1206,Undirected,22034,,,1
1851,1206,Undirected,22013,,,1
1210,2420,Undirected,45379,,,1
1210,3028,Undirected,45119,,,1
1210,2094,Undirected,44277,,,1
1210,1843,Undirected,43646,,,1
1210,1996,Undirected,42042,,,1
1210,1340,Undirected,39766,,,1
1210,1830,Undirected,38330,,,1
1210,2844,Undirected,36216,,,1
1210,1604,Undirected,34172,,,1
1210,1720,Undirected,28028,,,1
1210,1790,Undirected,26638,,,1
1210,1798,Undirected,24042,,,1
1210,1579,Undirected,21112,,,1
1210,2913,Undirected,20340,,,1
1210,1894,Undirected,18167,,,1
1210,2824,Undirected,16918,,,1
1210,1214,Undirected,16420,,,1
1210,1468,Undirected,15252,,,1
1210,1574,Undirected,14586,,,1
1210,2656,Undirected,13649,,,1
1210,2717,Undirected,13470,,,1
1210,2677,Undirected,10988,,,1
1210,2581,Undirected,9772,,,1
1210,1452,Undirected,9585,,,1
1210,1446,Undirected,9541,,,1
1210,2646,Undirected,8619,,,1
1210,1672,Undirected,7047,,,1
1212,1935,Undirected,42944,,,1
1589,1212,Undirected,10256,,,1
1589,1214,Undirected,16556,,,1
2095,1214,Undirected,16396,,,1
1589,1216,Undirected,27006,,,1
1851,1216,Undirected,27001,,,1
1589,1227,Undirected,6520,,,1
1934,1228,Undirected,8572,,,1
1851,1231,Undirected,22304,,,1
1400,1232,Undirected,6846,,,1
3033,1233,Undirected,6859,,,1
2286,1233,Undirected,6856,,,1
1528,1233,Undirected,6852,,,1
1234,1935,Undirected,42935,,,1
1851,1235,Undirected,6928,,,1
1589,1235,Undirected,6925,,,1
3071,1251,Undirected,16285,,,1
2095,1263,Undirected,17742,,,1
1589,1263,Undirected,17704,,,1
1400,1266,Undirected,35649,,,1
2095,1269,Undirected,16817,,,1
1589,1269,Undirected,16795,,,1
2095,1271,Undirected,22917,,,1
1589,1271,Undirected,22915,,,1
2095,1272,Undirected,11896,,,1
1851,1274,Undirected,30525,,,1
1589,1274,Undirected,30518,,,1
1400,1283,Undirected,43843,,,1
1589,1284,Undirected,14477,,,1
1851,1289,Undirected,21016,,,1
1290,1935,Undirected,42946,,,1
1293,2809,Undirected,2596,,,1
1295,1935,Undirected,42920,,,1
1589,1295,Undirected,17331,,,1
2095,1295,Undirected,17210,,,1
1851,1297,Undirected,11107,,,1
1851,1306,Undirected,33949,,,1
2095,1310,Undirected,5995,,,1
1589,1310,Undirected,5975,,,1
2095,1317,Undirected,12238,,,1
1589,1317,Undirected,12232,,,1
1589,1320,Undirected,402,,,1
1851,1320,Undirected,396,,,1
1400,1329,Undirected,15345,,,1
1589,1339,Undirected,18063,,,1
1400,1341,Undirected,1416,,,1
1347,1935,Undirected,42943,,,1
1934,1351,Undirected,37395,,,1
2095,1353,Undirected,15832,,,1
1589,1353,Undirected,15812,,,1
1589,1371,Undirected,24579,,,1
2095,1371,Undirected,24515,,,1
1589,1375,Undirected,2154,,,1
2095,1375,Undirected,2148,,,1
1589,1396,Undirected,16279,,,1
1400,2226,Undirected,45752,,,1
1400,2993,Undirected,40959,,,1
1400,1855,Undirected,40472,,,1
1400,3010,Undirected,33071,,,1
1400,1412,Undirected,30456,,,1
1400,2859,Undirected,28588,,,1
1400,2455,Undirected,13054,,,1
1400,2980,Undirected,9644,,,1
1400,1832,Undirected,4859,,,1
1851,1416,Undirected,25280,,,1
1851,1418,Undirected,18653,,,1
2095,1429,Undirected,11970,,,1
2095,1436,Undirected,30987,,,1
1589,1436,Undirected,30959,,,1
1589,1451,Undirected,18973,,,1
1452,1935,Undirected,42913,,,1
1589,1455,Undirected,14927,,,1
2095,1455,Undirected,14879,,,1
1851,1460,Undirected,28538,,,1
1934,1461,Undirected,13845,,,1
1476,1935,Undirected,42929,,,1
1589,1476,Undirected,36780,,,1
1851,1476,Undirected,36753,,,1
1618,1487,Undirected,26562,,,1
1589,1488,Undirected,14056,,,1
1589,1490,Undirected,41400,,,1
1589,1493,Undirected,26753,,,1
2095,1493,Undirected,26739,,,1
1589,1504,Undirected,34876,,,1
1851,1504,Undirected,34870,,,1
1851,1505,Undirected,18345,,,1
2095,1507,Undirected,37531,,,1
1589,1507,Undirected,37508,,,1
1934,1510,Undirected,29658,,,1
1589,1533,Undirected,43490,,,1
1851,1533,Undirected,43482,,,1
1618,1536,Undirected,22490,,,1
2095,1537,Undirected,5185,,,1
1589,1537,Undirected,5127,,,1
1934,1542,Undirected,7370,,,1
3071,1553,Undirected,42144,,,1
1851,1559,Undirected,17083,,,1
1589,1559,Undirected,17077,,,1
2095,1559,Undirected,16957,,,1
2833,1565,Undirected,20878,,,1
2125,1567,Undirected,45053,,,1
2095,1569,Undirected,3442,,,1
1589,1569,Undirected,3373,,,1
1589,1574,Undirected,14588,,,1
1589,1581,Undirected,28237,,,1
2095,1584,Undirected,12053,,,1
1851,1588,Undirected,39084,,,1
1589,2006,Undirected,47111,,,1
1589,1681,Undirected,46818,,,1
1589,1859,Undirected,46590,,,1
1589,2083,Undirected,46451,,,1
1589,2025,Undirected,45694,,,1
1589,2016,Undirected,45561,,,1
1589,2019,Undirected,44971,,,1
1589,3081,Undirected,44911,,,1
1589,1802,Undirected,44633,,,1
1589,2094,Undirected,44268,,,1
1589,1736,Undirected,44005,,,1
1589,1815,Undirected,43814,,,1
1589,1843,Undirected,43575,,,1
1589,1935,Undirected,42949,,,1
1589,1923,Undirected,42725,,,1
1589,1732,Undirected,42452,,,1
1589,1692,Undirected,40982,,,1
1589,1913,Undirected,40692,,,1
1589,2004,Undirected,40180,,,1
1589,2142,Undirected,39515,,,1
1589,1999,Undirected,39239,,,1
1589,2517,Undirected,38594,,,1
1589,3086,Undirected,38220,,,1
1589,2146,Undirected,37914,,,1
1589,2540,Undirected,37493,,,1
1589,1975,Undirected,37268,,,1
1589,2474,Undirected,36966,,,1
1589,1612,Undirected,36559,,,1
1589,1879,Undirected,36072,,,1
1589,2499,Undirected,34299,,,1
1589,1743,Undirected,33787,,,1
1589,2634,Undirected,33128,,,1
1589,1841,Undirected,32651,,,1
1589,2013,Undirected,31478,,,1
1589,2011,Undirected,31417,,,1
1589,3031,Undirected,31125,,,1
1589,1850,Undirected,30247,,,1
1589,1669,Undirected,29841,,,1
1589,1915,Undirected,29705,,,1
1589,1599,Undirected,28442,,,1
1589,1864,Undirected,27885,,,1
1589,1709,Undirected,27846,,,1
1589,1971,Undirected,27237,,,1
1589,1799,Undirected,26833,,,1
1589,2815,Undirected,25968,,,1
1589,1849,Undirected,25079,,,1
1589,1807,Undirected,24253,,,1
1589,2680,Undirected,24032,,,1
1589,1782,Undirected,23877,,,1
1589,2171,Undirected,23086,,,1
1589,2988,Undirected,22984,,,1
1589,2818,Undirected,22766,,,1
1589,2644,Undirected,22723,,,1
1589,1871,Undirected,22368,,,1
1589,1762,Undirected,22191,,,1
1589,2456,Undirected,21837,,,1
1589,3044,Undirected,21663,,,1
1589,2528,Undirected,20161,,,1
1589,1905,Undirected,19835,,,1
1589,2811,Undirected,19689,,,1
1589,2022,Undirected,19540,,,1
1589,1711,Undirected,18705,,,1
1589,2687,Undirected,18411,,,1
1589,2883,Undirected,18264,,,1
1589,2368,Undirected,17800,,,1
1589,2738,Undirected,17594,,,1
1589,2416,Undirected,15885,,,1
1589,1628,Undirected,15449,,,1
1589,2504,Undirected,14350,,,1
1589,2066,Undirected,13136,,,1
1589,2260,Undirected,12776,,,1
1589,2345,Undirected,11990,,,1
1589,1684,Undirected,11718,,,1
1589,2944,Undirected,11231,,,1
1589,2480,Undirected,9213,,,1
1589,2460,Undirected,9027,,,1
1589,1957,Undirected,8301,,,1
1589,2962,Undirected,7883,,,1
1589,1672,Undirected,7117,,,1
1589,2791,Undirected,6794,,,1
1589,1625,Undirected,6160,,,1
1589,2595,Undirected,3915,,,1
1589,2436,Undirected,3201,,,1
1589,2648,Undirected,2285,,,1
1589,2362,Undirected,1012,,,1
1589,1645,Undirected,630,,,1
1851,1599,Undirected,28455,,,1
1934,1609,Undirected,9809,,,1
1610,2128,Undirected,35084,,,1
2095,1612,Undirected,36542,,,1
1934,1615,Undirected,36608,,,1
1618,2571,Undirected,41834,,,1
1934,1636,Undirected,37131,,,1
1924,1638,Undirected,41496,,,1
3001,1638,Undirected,41494,,,1
3071,1639,Undirected,15626,,,1
1851,1639,Undirected,15610,,,1
1654,2341,Undirected,10099,,,1
1671,1773,Undirected,40143,,,1
1672,1935,Undirected,42930,,,1
2095,1676,Undirected,40265,,,1
1678,1773,Undirected,40142,,,1
1851,1681,Undirected,46836,,,1
2095,1681,Undirected,46829,,,1
1851,1684,Undirected,11731,,,1
3071,1687,Undirected,35460,,,1
1934,1691,Undirected,1523,,,1
1851,1692,Undirected,40986,,,1
1699,2115,Undirected,13811,,,1
2095,1711,Undirected,18737,,,1
1851,1715,Undirected,17105,,,1
1720,1935,Undirected,42941,,,1
1851,1732,Undirected,42464,,,1
2125,1735,Undirected,31172,,,1
2095,1736,Undirected,44000,,,1
1851,1742,Undirected,33777,,,1
1851,1743,Undirected,33784,,,1
1851,1752,Undirected,1548,,,1
1767,1935,Undirected,42907,,,1
1851,1771,Undirected,34402,,,1
1775,1935,Undirected,42905,,,1
2095,1782,Undirected,23836,,,1
1851,1792,Undirected,31872,,,1
1934,1801,Undirected,41590,,,1
2095,1802,Undirected,44603,,,1
1934,1804,Undirected,19648,,,1
1851,1805,Undirected,19012,,,1
1851,1807,Undirected,24257,,,1
1934,1824,Undirected,24753,,,1
1851,1849,Undirected,25084,,,1
1851,3081,Undirected,44949,,,1
1851,1935,Undirected,42948,,,1
1851,1999,Undirected,39252,,,1
1851,1975,Undirected,37255,,,1
1851,1879,Undirected,36071,,,1
1851,2771,Undirected,34676,,,1
1851,1982,Undirected,34456,,,1
1851,1857,Undirected,33990,,,1
1851,3031,Undirected,31113,,,1
1851,1971,Undirected,27172,,,1
1851,1969,Undirected,24636,,,1
1851,2988,Undirected,22995,,,1
1851,1871,Undirected,22369,,,1
1851,2456,Undirected,21854,,,1
1851,2811,Undirected,19711,,,1
1851,2022,Undirected,19528,,,1
1851,2066,Undirected,13119,,,1
1851,2260,Undirected,12763,,,1
1851,2944,Undirected,11211,,,1
1851,2791,Undirected,6730,,,1
3071,1857,Undirected,34006,,,1
2095,1859,Undirected,46597,,,1
2095,1871,Undirected,22353,,,1
1893,1935,Undirected,42945,,,1
3071,1898,Undirected,29510,,,1
2095,1913,Undirected,40726,,,1
1915,1935,Undirected,42916,,,1
2095,1923,Undirected,42764,,,1
3071,1923,Undirected,42643,,,1
1924,1935,Undirected,42932,,,1
1934,1928,Undirected,41210,,,1
1934,3006,Undirected,47129,,,1
1934,1981,Undirected,42373,,,1
1934,2028,Undirected,36306,,,1
1934,2058,Undirected,35722,,,1
1934,2785,Undirected,34986,,,1
1934,1936,Undirected,34446,,,1
1934,2792,Undirected,29762,,,1
1934,2906,Undirected,27413,,,1
1934,2473,Undirected,25922,,,1
1934,2682,Undirected,18875,,,1
1934,2026,Undirected,15381,,,1
1934,2519,Undirected,10534,,,1
1934,2357,Undirected,6441,,,1
1934,2481,Undirected,2902,,,1
2844,1935,Undirected,42942,,,1
2471,1935,Undirected,42940,,,1
2184,1935,Undirected,42939,,,1
1961,1935,Undirected,42938,,,1
2875,1935,Undirected,42928,,,1
2581,1935,Undirected,42924,,,1
2598,1935,Undirected,42923,,,1
2824,1935,Undirected,42922,,,1
2086,1935,Undirected,42919,,,1
2677,1935,Undirected,42918,,,1
3028,1935,Undirected,42910,,,1
2095,1957,Undirected,8442,,,1
2095,1971,Undirected,27193,,,1
2095,1975,Undirected,37226,,,1
2095,1981,Undirected,42326,,,1
2125,1999,Undirected,39194,,,1
2095,2003,Undirected,43338,,,1
2071,2128,Undirected,35070,,,1
2095,2083,Undirected,46420,,,1
2095,2555,Undirected,45605,,,1
2095,2517,Undirected,38565,,,1
2095,3086,Undirected,38286,,,1
2095,2634,Undirected,33106,,,1
2095,3031,Undirected,31104,,,1
2095,2728,Undirected,28848,,,1
2095,2773,Undirected,25779,,,1
2095,2681,Undirected,25580,,,1
2095,2818,Undirected,22838,,,1
2095,3044,Undirected,21667,,,1
2095,2528,Undirected,20132,,,1
2095,2811,Undirected,19700,,,1
2095,3009,Undirected,19018,,,1
2095,2883,Undirected,18189,,,1
2095,2368,Undirected,17812,,,1
2095,2738,Undirected,17588,,,1
2095,2416,Undirected,15861,,,1
2095,2464,Undirected,12490,,,1
2095,2480,Undirected,9215,,,1
2095,2460,Undirected,8998,,,1
2095,2962,Undirected,7907,,,1
2095,2997,Undirected,7208,,,1
2095,2791,Undirected,6671,,,1
2095,2805,Undirected,4962,,,1
2095,2834,Undirected,3535,,,1
2095,2436,Undirected,3233,,,1
2095,2648,Undirected,2314,,,1
2095,2362,Undirected,1052,,,1
2103,2128,Undirected,35071,,,1
2833,2120,Undirected,25859,,,1
2966,2128,Undirected,35083,,,1
2833,2280,Undirected,12485,,,1
2381,2290,Undirected,18880,,,1
2341,2408,Undirected,18464,,,1
2985,2341,Undirected,10101,,,1
2833,2374,Undirected,19179,,,1
2381,2549,Undirected,40317,,,1
2381,2484,Undirected,33383,,,1
2381,2468,Undirected,19396,,,1
2381,3030,Undirected,15206,,,1
2531,2408,Undirected,18466,,,1
3071,2451,Undirected,13524,,,1
2668,2575,Undirected,10478,,,1
3071,2598,Undirected,43926,,,1
3071,2627,Undirected,20446,,,1
3071,2663,Undirected,15173,,,1
3071,2672,Undirected,28514,,,1
3071,2720,Undirected,34192,,,1
2949,2733,Undirected,5691,,,1
3071,2743,Undirected,44337,,,1
3071,2758,Undirected,438,,,1
3071,2783,Undirected,34931,,,1
3071,2790,Undirected,3930,,,1
3071,2843,Undirected,33640,,,1
3071,2844,Undirected,36239,,,1
3071,2853,Undirected,14186,,,1
3071,3079,Undirected,20764,,,1
